COMPONENTE	ANO/FAIXA	EIXO - CAMPOS DE ATUAÇÃO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	CÓDIGO HABILIDADE	HABILIDADES	COMENTÁRIO	POSSIBILIDADES PARA O CURRÍCULO
Geografia	9º	-	Conexões e escalas	Intercâmbios históricos e culturais entre Europa, Ásia e Oceania	EF09GE09	Analisar características de países e grupos de países europeus, asiáticos e da Oceania em seus aspectos populacionais, urbanos, políticos e econômicos, e discutir suas desigualdades sociais e econômicas e pressões sobre seus ambientes físico-naturais.	Considerando o desenvolvimento da habilidade (EF09GE08), espera-se que o aluno possa identificar e avaliar criticamente as características dos países europeus, asiáticos e da Oceania sobre as questões sociais, políticas e econômicas. Deve, ainda, compreender os fatores desses países no que se refere à situação urbana e rural, características da população, aspectos do desenvolvimento econômico e também as marcas da desigualdade socioespacial presente nessas regiões.	Na elaboração do currículo, podem ser explicitadas habilidades relativas ao conjunto de temas reunidos nesta habilidade: aspectos populacionais, econômicos, situação de vida e moradia, produção agrícola, industrial, distribuição de renda e desigualdades e a relação da população com o uso da natureza, no conjunto de países da Europa, Ásia e Oceania. Ao analisá-los, o aluno deve, ao final, conseguir compreender a situação atual dessas regiões e comparar as características dos grupos de países. Deve, ainda, refletir sobre as condições de vida da população e a desigual distribuição de riqueza no mundo.
Geografia	9º	-	Mundo do trabalho	Transformações do espaço na sociedade urbano-industrial	EF09GE10	Analisar os impactos do processo de industrialização na produção e circulação de produtos e culturas na Europa, na Ásia e na Oceania.	Esta habilidade diz respeito a identificar, compreender e avaliar criticamente o impacto do processo de industrialização na Europa, na Ásia e na Oceania. Para isso, é necessário identificar o papel dos setores primário, secundário e terciário na economia dessas regiões, compreender a importância da tecnologia para o desenvolvimento econômico dos países europeus e asiáticos, assim como relacionar a estrutura econômica ao desenvolvimento regional da Ásia e o perfil produtivo dos Tigres Asiáticos no contexto global.	Na elaboração do currículo, é importante considerar que, nesta habilidade, trata-se de entender a produção, a circulação e o consumo em uma perspectiva territorial integrada entre os países da Europa, Ásia e Oceania. Deve-se levar o aluno a perceber que o desenvolvimento do capitalismo industrial na Europa, inicialmente na Inglaterra, gerou transformações intensas, que passaram a ocorrer de modo mais amplo no espaço geográfico, incluindo o aumento da exploração de recursos naturais, com o uso cada vez maior de máquinas. Pode-se, ainda, privilegiar a análise dos impactos da produção e conhecer as características da produção, industrialização, circulação e consumo da atualidade entre os países da Europa, na Ásia e na Oceania.
Geografia	9º	-	Mundo do trabalho	Transformações do espaço na sociedade urbano-industrial	EF09GE11	Relacionar as mudanças técnicas e científicas decorrentes do processo de industrialização com as transformações no trabalho em diferentes regiões do mundo e suas consequências no Brasil.	Esta habilidade consiste em associar a industrialização com as mudanças no trabalho. Para isso, é necessário conhecer os novos formatos de trabalho do mundo frente às exigências da indústria, identificar e comparar a concepção de trabalho nas diversas épocas e identificar a especificidade do trabalho na sociedade capitalista. Deve-se, ainda, distinguir o trabalho atual e suas diversas modalidades no Brasil e no mundo.	Na elaboração do currículo, deve-se considerar que o desenvolvimento desta habilidade deve permitir que o aluno compare a concepção de trabalho nas diversas épocas e nas distintas regiões do mundo. Quais são as características do mundo do trabalho na atualidade? É importante que o aluno reconheça que a inovação tecnológica e comunicacional impõe mudanças e transformações não só nas atividades, mas, sobretudo, nas relações trabalhistas. Para tanto, é necessário identificar a especificidade do trabalho na sociedade capitalista, o modo de produção flexível e o novo perfil do trabalhador. A habilidade favorece também a discussão sobre o trabalho atual e suas diversas modalidades, fazendo com que o aluno seja capaz de compreender a importância do trabalho na sociedade e suas diferentes formas de organização, bem como refletir sobre as relações de trabalho na sociedade capitalista e sobre sua própria condição nessas relações.
Geografia	9º	-	Mundo do trabalho	Cadeias industriais e inovação no uso dos recursos naturais e matérias-primas	EF09GE12	Relacionar o processo de urbanização às transformações da produção agropecuária, à expansão do desemprego estrutural e ao papel crescente do capital financeiro em diferentes países, com destaque para o Brasil.	Esta habilidade se refere a associar as questões atuais que configuram a produção agropecuária no Brasil e no mundo: o crescimento das cidades e da vida urbana, a informatização da produção agropecuária e a diminuição dos empregos no campo, os avanços e as transformações das indústrias associados ao capital financeiro e internacional. Deve-se conectar esses elementos também à expansão do desemprego estrutural no mundo e, especialmente, no Brasil, com a extinção de postos de trabalhos a partir da automação de algumas atividades.	Na elaboração do currículo, deve-se considerar que, na habilidade (EF09GE11), o aluno iniciou  a compreensão sobre as novas características do mundo do trabalho. Portanto, é possível que relacione as mudanças ocorridas na técnica e na ciência aos processos de produção em geral e , ainda, as transformações da produção agropecuária ao novo rural. Pode-se contemplar habilidades relativas ao reconhecimento do campo tecnológico que temos na atualidade e que opera a partir dos avanços tecnológicos com cada vez menos trabalhadores. É importante que o aluno relacione o crescimento urbano e as inovações tecnológicas com o aumento da produção agropecuária, o aumento do desemprego e a extinção de postos de trabalho, e identifique o papel do capital financeiro na produção e na circulação. Há, aqui, oportunidade de trabalho interdisciplinar com a habilidade (EF09HI05), da História, no que de refere à identificação e análise do processo de urbanização.
Geografia	9º	-	Mundo do trabalho	Cadeias industriais e inovação no uso dos recursos naturais e matérias-primas	EF09GE13	Analisar a importância da produção agropecuária na sociedade urbano-industrial ante o problema da desigualdade mundial de acesso aos recursos alimentares e à matéria-prima.	Nesta habilidade, espera-se que o aluno reconheça que as mudanças e as transformações técnicas e científicas trouxeram ao mundo rural aumento significativo da produção agropecuária na sociedade urbano-industrial, mas que esse aumento de produção de alimentos não se traduziu na extinção da fome, ou da desigualdade de acesso aos recursos alimentares e à matéria-prima pela população em geral. Ao analisar o problema da desigualdade mundial de acesso aos recursos alimentares, deve-se considerar o problema da concentração de renda e da produção como uma das causas do aumento da pobreza estrutural e da falta de condições dignas de vida e moradia para a população em geral.	Na elaboração do currículo, é importante contemplar habilidades que permitam a compreensão de que a produção rural possui, na atualidade, características que são próprias da sociedade urbano-industrial: desenvolvimento das ciências, das técnicas, da informação e da comunicação. A produção agropecuária no Brasil e no mundo aumentou significativamente com o avanço tecnológico, mas, apesar de se produzir mais alimentos no mundo, os problemas sociais de acesso aos recursos alimentares e à matéria-prima permanecem. É necessário que o aluno analise os problemas da desigualdade social, da fome e da pobreza na sociedade urbano-industrial a partir da concentração de renda, dos meios de produção, de acesso aos recursos naturais e da segregação socioespacial. O estudo do meio técnico-científico-informacional e das novas configurações da produção irá permitir ao estudante desenvolver a análise sobre a situação da agricultura, pecuária, produção industrial e extrativista.
Geografia	9º	-	Formas de representação e pensamento espacial	Leitura e elaboração de mapas temáticos, croquis e outras formas de representação para analisar informações geográficas	EF09GE14	Elaborar e interpretar gráficos de barras e de setores, mapas temáticos e esquemáticos (croquis) e anamorfoses geográficas para analisar, sintetizar e apresentar dados e informações sobre diversidade, diferenças e desigualdades sociopolíticas e geopolíticas mundiais.	Esta habilidade diz respeito a produzir e ler informações geográficas em representações cartográficas, gráficos, tabelas, esquemas e outras formas de representação a partir de dados sobre desigualdade social, produção agropecuária, concentração de renda etc. Deve-se analisar mapas temáticos e anamorfoses geográficas que apresentam informações sobre diversidade, desigualdades sociopolíticas e geopolíticas no mundo.	Na elaboração do currículo, a partir de informações das habilidades anteriores sobre as indústrias na Europa, Ásia e Oceania (localização dos centros produtivos, tipo de produtos produzidos, origem e condição de trabalho da mão de obra, destino da produção), pode-se favorecer a compreensão acerca das desigualdades intra e intercontinentais. É desejável também que o aluno produza cartogramas que expressem o resultado das investigações realizadas. É possível considerar, no trabalho cartográfico, o uso de diferentes representações para distintas informações: mapa para fluxos de produção (onde se produz? onde se comercializa? onde se consome?), tabelas sobre os dados da produção de alimentos no Brasil e no mundo, e anamorfoses sobre a concentração de renda e produção industrial.
Geografia	9º	-	Formas de representação e pensamento espacial	Leitura e elaboração de mapas temáticos, croquis e outras formas de representação para analisar informações geográficas	EF09GE15	Comparar e classificar diferentes regiões do mundo com base em informações populacionais, econômicas e socioambientais representadas em mapas temáticos e com diferentes projeções cartográficas.	Esta habilidade diz respeito a estabelecer diferenças e semelhanças entre lugares do mundo no que concerne a informações populacionais, econômicas e socioambientais. Deve-se analisar mapas de diferentes projeções cartográficas a fim de encontrar a melhor para cada finalidade de representação.	Na elaboração do currículo, pode-se contemplar habilidades relativas à interpretação de diferentes projeções cartográficas. É possível comparar países e/ou regiões do mundo a partir de dados e informações populacionais, econômicas, políticas e ambientais, com base em mapas e representações. Pode-se considerar esta habilidade complementar ao desenvolvimento das habilidades (EF09GE08) e (EF09GE09).
Geografia	9º	-	Natureza, ambientes e qualidade de vida	Diversidade ambiental e as transformações nas paisagens na Europa, na Ásia e na Oceania	EF09GE16	Identificar e comparar diferentes domínios morfoclimáticos da Europa, da Ásia e da Oceania.	Esta habilidade consiste em reconhecer e listar diferenças e semelhanças entre os diversos domínios morfoclimáticos e os aspectos físico-naturais dos biomas existentes na Europa, Ásia e Oceania, como as Florestas Tropicais (Ásia), as Florestas Temperadas (Europa), as Savanas  (Oceania), Desertos (Oceania e Ásia), entre outros.	Na elaboração do currículo, deve-se considerar que se trata, nesta habilidade, de apresentar o mapa dos biomas das regiões da Europa, Ásia e Oceania, relacionando os vários elementos que os compõem: vegetação, clima e relevo. Pode-se considerar o uso de mapas físicos, que auxiliam na espacialização das áreas e ocorrências dos domínios. Pode-se, ainda, aprofundar a habilidade ao questionar quais são as características físico-naturais dos domínios morfoclimáticos existentes no mundo, e pensar se há ocorrência dos mesmos domínios brasileiros  nas regiões da Europa, Ásia e Oceania para que o aluno reconheça a existência das Savanas no Brasil e na Austrália, e a Floresta Tropical no Brasil e na Índia.
Geografia	9º	-	Natureza, ambientes e qualidade de vida	Diversidade ambiental e as transformações nas paisagens na Europa, na Ásia e na Oceania	EF09GE17	Explicar as características físico-naturais e a forma de ocupação e usos da terra em diferentes regiões da Europa, da Ásia e da Oceania.	Esta habilidade é complementar à (EF09GE16), em que o aluno consegue identificar as características físico-naturais das regiões referidas na habilidade. Deve-se compreender e esclarecer o fato de que o uso da terra, a ocupação e a produção estão relacionados com as características físico-naturais em diversas regiões da Europa, da Ásia e da Oceania.	Na elaboração do currículo, considerando que as habilidades anteriores apresentaram as características físico-naturais das regiões da Europa, Ásia e Oceania, esta habilidade deverá ser desenvolvida a partir da análise da forma de ocupação e do uso da terra. Espera-se que o aluno possa, por exemplo, explicar o uso da terra na Ásia , em relação com suas características físico-naturais: solos férteis, grande produtora de alimentos, baixa mecanização, agricultura concentrada nas planícies. Já na Europa, há agricultura e pecuária mecanizada, pecuária intensiva de leite etc. Na Oceania, o destaque é para a produção de Ovinos na Austrália. A Nova Zelândia é um país acidentado, com pequenas áreas próprias para o cultivo arável, por isso, o investimento é na pecuária com gado, caprinos, veados, suínos, aves e apicultura, além do cultivo de frutas. As plantações de uva são, atualmente, uma grande fonte de renda, com o vinho neozelandês sendo reconhecido mundialmente pela qualidade.
Geografia	9º	-	Natureza, ambientes e qualidade de vida	Diversidade ambiental e as transformações nas paisagens na Europa, na Ásia e na Oceania	EF09GE18	Identificar e analisar as cadeias industriais e de inovação e as consequências dos usos de recursos naturais e das diferentes fontes de energia (tais como termoelétrica, hidrelétrica, eólica e nuclear) em diferentes países.	Esta habilidade diz respeito a reconhecer, compreender e avaliar criticamente os usos de recursos naturais a partir das diferentes fontes de energia (termoelétrica, hidrelétrica, eólica e nuclear) em diferentes países, a fim de analisar os impactos e as consequências desses usos na produção industrial e de inovação.	Na elaboração do currículo, pode-se investir na compreensão entre as características dos aspectos físico-naturais (relevo, hidrografia e clima), a oferta de recursos naturais e energéticos, bem como a concentração, desconcentração ou reconcentração das atividades industriais na Europa, Ásia, Oceania e Brasil. É necessário reconhecer as relações entre características físico-naturais de um país ou de um continente e as opções de produção industrial. Por meio de mapas temáticos contendo diferentes domínios morfoclimáticos da Europa, Ásia e Oceania, é possível associar os componentes físico-naturais à qualidade de vida da população local. Pode-se, por exemplo, relacionar a ocorrência de tectonismos e vulcanismos às características socioeconômicas e aos modos de reação dos diferentes espaços frente a esses fenômenos. É importante promover, no currículo, a organização de conteúdos que permitam compreender a questão ambiental em articulação  com as cadeias produtivas e os recursos naturais disponíveis.
Ciências	1º	-	Matéria e energia	Características dos materiais	EF01CI01	Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.	Comparar está relacionado a compreender fatos e classificações. Assim, para desenvolver esta habilidade, o aluno deve escolher, reconhecer, selecionar e listar objetos. A habilidade tem como foco que o aluno categorize objetos de uso cotidiano de acordo com os materiais que os compõem (metal, madeira, plástico, borracha, vidro, rochas, cimento, entre outros) e se podem ou não ser reciclados ou reutilizados.	Na elaboração do currículo, pode-se propor o desmembramento da habilidade; por exemplo, identificar, classificar e descrever os objetos do cotidiano de acordo com as características observáveis dos materiais e reconhecer a fonte de matéria-prima para sua confecção. Ainda, é possível propor o desenvolvimento de competências investigativas, como identificar as ações humanas que provocam poluição ou degradação do meio ambiente, a qual pode ser contextualizada ao tratar diretamente de um bioma local, como a caatinga, ou de um ambiente urbano, como os parques. Também é possível incluir habilidades relacionadas a práticas sustentáveis, como explicar, com ilustrações, formas adequadas de descarte dos resíduos domésticos.
Ciências	1º	-	Vida e evolução	Corpo humano Respeito à diversidade	EF01CI02	Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.	Localizar, nomear e representar constituem-se, nesta habilidade, de procedimentos que contribuem para a construção de uma representação do corpo humano. Isso envolve identificar e reconhecer as partes do corpo, como a cabeça, o tronco, os membros e suas partes, as mãos, os pés, os olhos, a boca e o nariz — ilustrar e localizar no modelo, além de descrever suas respectivas funções.	Na elaboração do currículo, é possível detalhar habilidades relativas à investigação, como , por exemplo, o aluno descrever as partes que compõem o corpo humano, e ressaltar características como cor da pele, dos olhos, do cabelo, altura e tipo físico. Assim, a habilidade pode ser explicitada, de forma desmembrada, por meio de aprendizagens como: identificar as partes do corpo, representar o corpo humano com um desenho ou modelo tridimensional por meio de materiais e relatar as funções de cada parte. Pode-se complementar o desenvolvimento da habilidade por meio do reconhecimento do corpo em outros modelos representativos da cultura local, como bonecos, pinturas, fotografias, entre outros.
Ciências	1º	-	Vida e evolução	Corpo humano Respeito à diversidade	EF01CI03	Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.	Discutir, nesta habilidade, relaciona-se a estabelecer conexões entre os hábitos de cuidados individuais e a prevenção de doenças e manutenção da qualidade de vida. Isso envolve compreender o porquê de realizar esses hábitos, o que exige identificar, descrever e exemplificar, relacionando-os, por exemplo, com as doenças causadas por microrganismos, como a cárie, ou a interrupção de ciclos de transmissão  de parasitas e de patologias contagiosas, como no caso da gripe.	Na elaboração do currículo, pode-se explorar o desenvolvimento de habilidades como o reconhecimento dos hábitos cotidianos do aluno, identificando em quais deles a higiene está relacionada como ação preventiva ou como manutenção da qualidade de vida, de maneira a que compreendam que alguns hábitos proporcionam o contágio ou a proliferação de doenças. Ainda, é importante relacionar atitudes de prevenção a atividades do cotidiano, como andar descalço, ter contato com corpos d'água contaminados e comer alimentos não higienizados. Essa compreensão aprofunda o tema nos aspectos relacionados ao saneamento básico, como, por exemplo, nas questões relacionadas à potabilidade da água para o consumo. É importante destacar, também, o desenvolvimento de habilidades relativas à identificação dos hábitos de higiene que estão relacionados a comportamentos individuais que têm reflexo na saúde coletiva, uma vez que favorecem a disseminação de doenças no ambiente em que vivemos.
Ciências	1º	-	Vida e evolução	Corpo humano Respeito à diversidade	EF01CI04	Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.	Comparar, nesta habilidade, está relacionado à identificação de características físicas, o que envolve reconhecer e descrever o corpo humano a partir de observações. Isso envolve exemplificar os aspectos fenotípicos relacionados à etnia ou traços característicos e individuais, de maneira a que o aluno constate a existência da diversidade e, a partir disso, realizar conexões sobre sua relação com o outro, seus colegas, amigos, familiares e pessoas de seu convívio, e reconhecer essas pessoas como legítimas em sua convivência escolar e social.	Na elaboração do currículo, pode-se explicitar o processo de investigação prevendo habilidades que envolvam identificar e descrever as características individuais utilizando dados, como, por exemplo, medir a altura, o peso, o comprimento dos braços ou pernas etc. Reconhecer as semelhanças e diferenças entre colegas serve de ponto de partida para discutir a diversidade e, nesse sentido, esta habilidade relaciona-se com a (EF01CI02). Pode-se ampliar o contexto das discussões propondo habilidades relativas à relação entre as características de uma população e seus hábitos culturais, ressaltando a importância da valorização dessas características e do diálogo, em construções colaborativas e descrições conjuntas.
Ciências	1º	-	Terra e Universo	Escalas de tempo	EF01CI05	Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.	Identificar e nomear, nesta habilidade, envolve reconhecer, exemplificar e relatar as características e elementos observáveis dos períodos diários, como o sol, a lua, as estrelas e a presença ou ausência de luminosidade natural nos períodos da manhã, tarde e noite, bem como reconhecer e demonstrar as marcações de tempo estabelecidas pela humanidade para organizar atividades do cotidiano, como horários e calendários.	Na elaboração do currículo, pode-se trabalhar com esta habilidade desmembrando-a para explicitar os procedimentos investigativos, como identificar as atividades do cotidiano que são realizadas em cada período do dia, descrever essas atividades, e relacioná-las às características dos períodos por meio de exemplificações, que incluem observar o mundo à sua volta e construir perguntas. É possível explicitar habilidades relativas à valorização dos calendários locais e ciclo de colheitas na marcação do tempo, bem como ao reconhecimento  de características que definem a passagem de tempo. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF01MA17), (EF01MA18), da Matemática; e (EF01GE05), da Geografia, voltadas a identificar e nomear diferentes escalas de tempo em referência aos ritmos da natureza.
Ciências	1º	-	Terra e Universo	Escalas de tempo	EF01CI06	Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.	Selecionar envolve identificar, listar e descrever as atividades diárias, como, no caso dos seres humanos, despertar, ir para a escola, realizar refeições, dormir, entre outras; e, no caso de outros seres vivos, se alimentar, repousar e outros hábitos comuns ao ciclo da vida. A habilidade refere-se, também, a estabelecer conexões com a passagem do tempo e a construir modos de se organizar na realização de atividades ou hábitos.	Na elaboração do currículo, ciente da conexão desta habilidade com a (EF01CI05), oportuniza-se a contextualização histórica e cultural ao se habilidades relativas a identificar a relação do ser humano com o ambiente, bem como reconhecer atividades do cotidiano e hábitos locais relacionados às escalas de tempo, que podem ser exemplificadas por meio de marcações do tempo em diversas culturas (muitas vezes, recorrendo ao universo mítico de vários povos). Nesse sentido, destaque-se que a história da ciência contribui de modo fundamental na perspectiva temporal da construção de saberes ao longo do desenvolvimento científico em diversos períodos da humanidade e, ainda, possibilita uma ampliação do contexto do letramento científico.
Ciências	2º	-	Matéria e energia	Propriedades e usos dos materiais Prevenção de acidentes domésticos	EF02CI01	Identificar de que materiais (metais, madeira, vidro etc.) são feitos os objetos que fazem parte da vida cotidiana, como esses objetos são utilizados e com quais materiais eram produzidos no passado.	Identificar envolve selecionar, diferenciar e reconhecer os objetos de uso cotidiano pelo tipo de material de que são constituídos. A habilidade requer investigar a produção desses objetos sob uma perspectiva histórica, o que exige identificar e diferenciar os objetos pelas suas características em diferentes épocas e períodos tecnológicos da humanidade.	Na elaboração do currículo, é possível contemplar habilidades de natureza investigativa, propondo que o aluno possa identificar objetos do seu cotidiano, descrever do que são feitos, explicar seu uso, bem como localizar e pesquisar informações relacionadas a esses objetos em outros períodos históricos da humanidade. O protagonismo do aluno no processo de investigação pode incorporar elementos do seu cotidiano, o que permite inúmeras possibilidades de arranjos nos procedimentos da pesquisa que tratam do seu contexto, tais como identificar os materiais utilizados em objetos artesanais que são produzidos em sua região e reconhecer os objetos e seus materiais que são produção da cultura local, como ferramentas, utensílios domésticos, instrumentos musicais ou estruturas para construção. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF02MA14), da Matemática; e (EF02GE09), da Geografia, associadas à identificação de objetos do mundo físico, suas características e representações.
Ciências	2º	-	Matéria e energia	Propriedades e usos dos materiais Prevenção de acidentes domésticos	EF02CI02	Propor o uso de diferentes materiais para a construção de objetos de uso cotidiano, tendo em vista algumas propriedades desses materiais (flexibilidade, dureza, transparência etc.).	Propor um uso envolve identificar, selecionar, diferenciar e reconhecer as características observáveis que definem um tipo de material, de modo a agrupar os objetos e selecionar seu uso pela referência às suas propriedades observáveis, adequadas ao desenvolvimento do aluno nesse ano. Esta habilidade complementa-se com a (EF02CI01) ao esperar que o aluno associe o uso intencional de determinados materiais na construção de diversos objetos.	Na elaboração do currículo, é possível explicitar procedimentos investigativos na redação da habilidade. Pode-se propor ao aluno investigar materiais quanto às suas propriedades, selecionar quais são mais adequados a objetos específicos do cotidiano, e explicar o motivo da escolha. Nesse sentido, utilizar argila é adequado à fabricação de um vaso, por conta de sua propriedade maleável que se solidifica, por exemplo. Pode-se aprofundar o desenvolvimento a respeito do tema com a especificação da fonte de obtenção dos materiais, conectando-os aos recursos naturais disponíveis na região de vivência e identificando quais materiais possuem um uso mais sustentável. Dessa forma, é interessante explicitar, no currículo, discussões sobre o destino final dos materiais descartados após o uso.
Ciências	2º	-	Matéria e energia	Propriedades e usos dos materiais Prevenção de acidentes domésticos	EF02CI03	Discutir os cuidados necessários à prevenção de acidentes domésticos (objetos cortantes e inflamáveis, eletricidade, produtos de limpeza, medicamentos etc.).	Discutir envolve explicar, selecionar e exemplificar informações relevantes sobre a segurança e redução de riscos no uso de objetos no cotidiano, como lâminas ou produtos químicos. A habilidade requer identificar e reconhecer situações que podem expor as pessoas ao risco de morte ou lesões — compreendidas pela ameaça ou vulnerabilidade em determinadas situações do cotidiano —, para evitar que elas ocorram por meio de atitudes e comportamentos preventivos.	Na elaboração do currículo, pode-se enfatizar, na proposição das habilidades, o protagonismo do aluno no processo de investigação, relativas à  incorporação/interação com os objetos do seu cotidiano, como identificar possíveis situações de risco e relacionar atitudes de prevenção para evitá-las. Ainda, é possível sinalizar a construção de atitudes e valores a partir desse contexto, expandindo-os em outros aspectos em que o estudante classifique as questões relacionadas à ameaça e vulnerabilidade socioambientais, como identificar, listar e explicar a presença de fatores de risco em sua casa, escola ou no caminho que percorre entre a casa e a escola. Para o desenvolvimento da habilidade, deve-se estimular a utilização de atividades práticas, como descrever e ilustrar situações de risco, relacionar medidas preventivas para manutenção da saúde e elaborar formas de informação sobre riscos por meio de desenhos ou ilustrações.
Ciências	2º	-	Vida e evolução	Seres vivos no ambiente Plantas	EF02CI04	Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem.	Descrever, nesta habilidade, envolve processos inter-relacionados, que requerem: selecionar e listar plantas e animais, identificando aspectos dos locais onde eles se encontram; identificar e exemplificar as características de plantas e animais por meio de evidências observáveis que os diferenciem e possibilitem associar e comparar, a fim de construir generalizações sobre animais e plantas, como tamanho, cor, forma ou o habitat onde vivem.	Na elaboração do currículo, esta habilidade pode ser desmembrada de maneira a contemplar procedimentos de investigação, tais como: observar e identificar as plantas e os animais que fazem parte do seu cotidiano, fazer uso da relação entre os tamanhos, formas e cores características e descrever em que fase da vida ou ambiente eles estavam ao serem observados. Pode-se ainda solicitar que explique as atividades que esses animais realizam e a quais condições do ambiente estão mais adaptados, associando as suas características ao ambiente onde vivem.
Ciências	2º	-	Vida e evolução	Seres vivos no ambiente Plantas	EF02CI05	Investigar a importância da água e da luz para a manutenção da vida de plantas em geral.	Investigar, nesta habilidade, envolve observar, descrever e reconhecer o papel desempenhado pela presença de água e luz nas condições ideais de um ambiente para que as plantas se nutram, desenvolvam, cresçam e se reproduzam, diferenciando essa relação em diferentes plantas e diferentes ambientes.	Na elaboração do currículo, podem ser destacadas habilidades investigativas relacionadas ao ambiente em que o aluno vive, como: identificar a presença da vida em ambientes com diferentes disponibilidade de água, relacionar a incidência da luz solar às mudanças de temperatura e aos ciclos da água e discutir a necessidade da água para a manutenção da vida em geral. Pode-se propor ainda habilidades referentes a elementos importantes do contexto, como: comparar a presença de vida em diferentes ambientes levando em conta a existência e oferta de água e identificar a formação vegetal de diversos ambientes em relação às regiões climáticas. Ilustrar, desenhar, observar em exposições ou em atividades práticas de campo contribuem no estímulo à curiosidade científica e envolvimento com o tema. Ao mesmo tempo, descrever e relatar são importantes para o ciclo de alfabetização.
Ciências	2º	-	Vida e evolução	Seres vivos no ambiente Plantas	EF02CI06	Identificar as principais partes de uma planta (raiz, caule, folhas, flores e frutos) e a função desempenhada por cada uma delas, e analisar as relações entre as plantas, o ambiente e os demais seres vivos.	Identificar, nesta habilidade, envolve exemplificar e descrever as partes de uma planta, por meio de procedimentos investigativos como observar diferentes espécimes encontradas no cotidiano. Associada à habilidade (EF02CI05), com certa complexidade para o ano, requer explicar e relacionar as funções de cada parte da planta para sua sobrevivência, reconhecendo seu papel nas relações entre os seres vivos e o ambiente, como no fornecimento de alimento, abrigo, sombra e interferência no clima local.	Na elaboração do currículo, pode-se propor habilidades relativas a atividades investigativas, como selecionar, ilustrar e descrever as plantas de seu convívio, que podem ser classificadas de acordo com o seu uso ou função no ambiente onde se encontram. Destaque-se que essa sondagem a respeito do cotidiano pode e deve ser expandida, relacionando as plantas do local às que se encontram em diversos ambientes, como o solicitado na habilidade (EF02CI04). O aprofundamento desta habilidade pode orientar as concepções a respeito do papel das plantas na alimentação e na base das cadeias alimentares, ao se propor: relacionar as plantas com o ambiente onde vivem, identificar quais delas fazem parte da dieta de diferentes seres vivos, reconhecer os efeitos da desertificação com a redução da vegetação e as consequências para a vida em geral.
Ciências	2º	-	Terra e Universo	Movimento aparente do Sol no céu O Sol como fonte de luz e calor	EF02CI07	Descrever as posições do Sol em diversos horários do dia e associá-las ao tamanho da sombra projetada.	Descrever, nesta habilidade, envolve identificar, registrar, e ilustrar as posições do Sol , utilizando como referência as sombras dos objetos ao longo do dia e correlacionando-as a referências como o horizonte, casas, prédios, o próprio corpo, pontos cardeais (de acordo com o desenvolvimento do aluno neste ano) e a marcação do tempo, como a divisão do dia em horas.	Na elaboração do currículo, as habilidades podem destacar os procedimentos de investigação, com base na observação, em atividades práticas de campo, que se desmembram em: registrar tamanho, forma e posição das sombras e ilustrar a posição da sombra de um objeto e suas mudanças em relação à posição do sol. É possível ainda descrever aspectos da luminosidade e passagem do tempo durante o período diário, relativos aos elementos do contexto do aluno , como o horário em que ele pode realizar determinadas atividades ou encontrar sombras para se proteger. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF02MA19), da Matemática; e (EF02HI07), da História, associadas à observação e medição da passagem do tempo.
Ciências	2º	-	Terra e Universo	Movimento aparente do Sol no céu O Sol como fonte de luz e calor	EF02CI08	Comparar o efeito da radiação solar (aquecimento e reflexão) em diferentes tipos de superfície (água, areia, solo, superfícies escura, clara e metálica etc.).	Comparar, nesta habilidade, está relacionado a compreender fatos observáveis. Assim, é necessário observar, reconhecer e descrever os efeitos da radiação solar nas superfícies de acordo com os materiais que as compõem, para que o aluno possa diferenciar e exemplificar o que ocorre em cada superfície ao ser aquecida ou ao refletir a luz solar ou artificial.	Na elaboração do currículo, pode-se destacar habilidades relativas à experimentação com a radiação solar como: identificar diferentes temperaturas em objetos do cotidiano quando expostos ao sol ou quando protegidos de seus raios, ou demonstrar a capacidade de reflexão ou refração da luz em diferentes tipos de superfícies. Pode-se, ainda, inserir habilidades relativas a descrever e relatar os fenômenos observados, diferenciando e comparando os resultados obtidos com os materiais e objetos produzidos localmente. Ilustrações, desenhos, visitas a exposições e atividades práticas de campo contribuem no estímulo à curiosidade científica e envolvimento com o tema.
